房间数,租赁,区域,房名,链接,面积,楼层,朝向,车位,洗衣机,空调,电视,冰箱,热水器,床,暖气,宽带,天然气,租金 (元/月),经度(E),纬度(W),平均租金,最近地铁站,最近公交站,500m内医院数量,500m内教育设施数量,500m内购物中心数
4,0,2,华洋小区,https://xa.lianjia.com/zufang/XA1605449437885235200.html,15,2,5,2,0,0,0,1,1,0,0,0,1,650,108.942739,34.237424,43.33,978['体育场'],185['省政务大厅'],2,7,1
1,1,7,富华博派时代,https://xa.lianjia.com/zufang/XA1605874169621250048.html,43.47,2,1,2,0,0,0,1,1,0,0,0,0,1650,108.971751,34.158891,37.96,300['神舟二路'],200['东长安街雁塔南路口'],0,1,0
1,1,4,新欣城,https://xa.lianjia.com/zufang/XA1608060803687120896.html,35,3,5,2,0,0,0,1,0,0,0,0,0,1150,108.979477,34.342348,32.86,200['常青路'],200['谭家村'],0,5,0
1,1,4,安盛花苑,https://xa.lianjia.com/zufang/XA1608061061649399808.html,50,2,5,2,0,0,0,1,0,0,0,0,0,1600,108.934216,34.306927,32,430['范家村'],167['锦荣路锦春巷口'],0,4,0
1,1,4,安盛花苑,https://xa.lianjia.com/zufang/XA1608061159087276032.html,50,3,5,2,0,0,0,0,0,0,0,0,0,1600,108.934216,34.306927,32,430['范家村'],167['锦荣路锦春巷口'],0,4,0
1,1,4,百花家园,https://xa.lianjia.com/zufang/XA1608061291971215360.html,40,2,5,2,0,0,0,1,0,0,0,0,0,1400,108.975145,34.329289,35,500['百花村'],200['太华路凤城三路口'],0,6,0
1,1,4,蓝光公园华府,https://xa.lianjia.com/zufang/XA1608061292264816640.html,30,1,5,2,0,0,0,1,0,0,0,0,0,1400,108.828185,34.290483,46.67,nan,145['天台路征和四路口'],0,2,0
1,1,4,蓝光公园华府,https://xa.lianjia.com/zufang/XA1608061434422362112.html,30,2,5,2,0,0,0,1,0,0,0,0,0,1280,108.828185,34.290483,42.67,nan,145['天台路征和四路口'],0,2,0
1,1,4,保利樾公馆,https://xa.lianjia.com/zufang/XA1608061436091695104.html,35,2,5,2,0,0,0,1,0,0,0,0,0,1150,108.964346,34.313686,32.86,1100['大明宫西'],"300['玄武路中段', '玄武路中段']",4,8,0
1,1,4,明月弘城,https://xa.lianjia.com/zufang/XA1608062931587563520.html,30,2,5,2,0,0,0,1,0,0,0,0,0,1250,108.919213,34.300817,41.67,nan,133['北二环劳动北路口'],1,8,0
5,0,4,凤城庭院,https://xa.lianjia.com/zufang/XA1616064432910106624.html,20,2,5,1,0,0,0,0,0,0,0,0,0,950,108.962101,34.342835,47.5,700['市中医医院'],100['开元路凤城七路口'],1,5,0
5,0,5,海德堡PARK,https://xa.lianjia.com/zufang/XA1618090123407130624.html,15,3,5,2,0,0,0,1,1,0,0,0,0,800,109.025517,34.216687,53.33,"700['新植物园', '黄渠头', '黄渠头', '雁翔路']",300['南三环登高路口'],1,4,0
5,0,5,曲江金水湾,https://xa.lianjia.com/zufang/XA1619283286046015488.html,28,2,5,2,0,1,0,1,1,0,0,0,0,1300,108.998998,34.201669,46.43,700['曲江池·寒窑'],200['曲江池南路新开门南路口'],0,6,0
1,1,2,东升大厦,https://xa.lianjia.com/zufang/XA1621174148761911296.html,60,3,5,1,0,0,0,1,0,1,0,0,1,3199,108.959962,34.256124,53.32,629['永宁门'],142['文昌门'],2,4,0
5,0,4,祥和居,https://xa.lianjia.com/zufang/XA1622841746473877504.html,22,3,5,1,0,0,0,1,1,0,0,0,1,700,108.998753,34.326886,31.82,"900['杨家庄', '杨家庄']","200['祥和居小区北门', '祥和居小区北门']",4,3,1
4,0,3,太奥广场住宅,https://xa.lianjia.com/zufang/XA1623322881112932352.html,20,3,5,2,0,0,0,1,1,0,0,0,0,694,108.89961,34.288298,34.7,158['丰禾路'],144['西二环丰禾路口'],0,4,2
5,0,7,紫薇睿纳时代,https://xa.lianjia.com/zufang/XA1623919263527993344.html,25,3,1,1,0,0,0,1,1,0,0,0,0,700,108.895028,34.163929,28,935['樱花广场'],384['西长安街居安路口'],2,4,1
2,1,6,半坡国际广场,https://xa.lianjia.com/zufang/XA1624666957531840512.html,90,2,5,2,0,0,0,0,0,0,0,0,0,2856,109.059583,34.280399,31.73,"300['半坡', '半坡']","300['半坡博物馆', '堡子村', '半坡公交调度站']",1,2,1
1,1,2,长安壹栋,https://xa.lianjia.com/zufang/XA1625073927782924288.html,53,2,5,1,0,0,0,0,0,0,0,0,1,2499,108.955157,34.241415,47.15,400['体育场'],300['草场坡'],3,5,0
2,1,2,宏信国际花园,https://xa.lianjia.com/zufang/XA1625111525654003712.html,90,3,0,1,0,0,0,0,0,1,0,0,1,3299,108.9572,34.256363,36.66,500['永宁门'],400['文昌门'],2,6,1
2,1,2,宏信国际花园,https://xa.lianjia.com/zufang/XA1625345744644866048.html,70,2,0,1,0,0,0,0,1,0,0,0,1,3199,108.9572,34.256363,45.7,500['永宁门'],400['文昌门'],2,6,1
1,1,2,中贸广场,https://xa.lianjia.com/zufang/XA1625356380850356224.html,65,3,0,1,0,0,0,0,0,0,0,0,0,2399,108.952082,34.248943,36.91,166['南稍门'],157['南稍门'],7,16,3
2,1,2,大话南门,https://xa.lianjia.com/zufang/XA1625429963400282112.html,70,1,0,1,0,0,0,0,0,0,0,0,1,3199,108.954973,34.246207,45.7,"300['南稍门', '南稍门']",300['南稍门'],7,14,2
4,0,5,易和蓝钻,https://xa.lianjia.com/zufang/XA1626794930628198400.html,25,1,5,0,0,0,0,1,0,0,0,0,0,1150,108.917958,34.24346,46,373['西北工业大学'],356['劳动南路南口'],1,29,0
5,0,5,鸿锦城天逸,https://xa.lianjia.com/zufang/XA1626924628909752320.html,30,1,5,1,0,0,0,1,1,0,0,0,0,990,108.855816,34.232222,33,nan,91['化龙三路科技二路口'],0,6,0
5,0,5,融鑫园小区,https://xa.lianjia.com/zufang/XA1627882175305089024.html,18,2,5,1,0,0,0,1,0,0,0,0,1,600,108.918841,34.22984,33.33,433['太白南路'],271['太白路科创路口'],2,16,0
1,1,7,天浩上元郡,https://xa.lianjia.com/zufang/XA1628812805979242496.html,40,2,5,2,0,0,0,1,0,0,0,0,0,1543,108.964116,34.165326,38.58,800['神舟二路'],"400['神舟二路飞天路口', '航天中路神舟二路口', '067基地']",0,1,0
1,1,2,长安大街3号,https://xa.lianjia.com/zufang/XA1630203994880081920.html,55,3,0,1,0,0,0,0,0,1,0,0,0,2599,108.95558,34.238625,47.25,300['体育场'],"300['省体育场', '南二环长安立交东']",3,5,0
2,1,2,宏信国际花园,https://xa.lianjia.com/zufang/XA1630416130310930432.html,85,2,0,1,0,0,0,0,0,1,0,0,1,3499,108.9572,34.256363,41.16,500['永宁门'],400['文昌门'],2,6,1
4,0,4,安诚御花苑A区,https://xa.lianjia.com/zufang/XA1633705902747942912.html,26,2,5,1,0,0,0,1,1,0,0,0,0,950,109.004083,34.318413,36.54,800['堡子村'],"300['浐灞大道西口', '辛家庙立交', '辛家庙立交', '辛家庙立交', '辛家庙立交']",0,1,0
4,0,5,高科花园,https://xa.lianjia.com/zufang/XA1639223144491253760.html,10,3,3,1,0,0,0,1,0,0,0,0,1,650,108.902429,34.239567,65,675['延平门'],183['科技路高新四路口'],1,5,0
5,0,7,盛世长安,https://xa.lianjia.com/zufang/XA1640231648333135872.html,28,3,5,1,0,0,0,1,1,0,0,0,0,950,108.884674,34.174001,33.93,957['樱花广场'],225['西五桥新村'],0,5,0
1,1,7,南姜美景,https://xa.lianjia.com/zufang/XA1641128184483151872.html,45,1,5,2,0,0,0,0,0,0,0,0,0,1545,108.91358,34.16329,34.33,288['邮电学院'],141['长安区政府'],0,5,0
1,1,7,聚福苑,https://xa.lianjia.com/zufang/XA1641292343594188800.html,35,2,5,2,0,0,0,0,0,0,0,0,0,1200,108.959316,34.162421,34.29,"800['航天城', '航天城']",500['东长安街西段'],0,1,0
1,1,7,聚福苑,https://xa.lianjia.com/zufang/XA1641293858807480320.html,40,1,5,2,0,0,0,0,0,0,0,0,0,1370,108.959316,34.162421,34.25,"800['航天城', '航天城']",500['东长安街西段'],0,1,0
4,0,5,江林新城C区,https://xa.lianjia.com/zufang/XA1641402704179757056.html,17,2,1,0,0,0,0,1,1,0,0,0,0,1100,108.915619,34.196195,64.71,950['电子城'],105['长沣路金石路口'],0,0,0
4,0,5,吉祥小区(雁塔),https://xa.lianjia.com/zufang/XA1641661724421521408.html,20,3,5,0,0,0,0,1,1,0,0,0,1,650,108.934364,34.226356,32.5,548['吉祥村'],107['四季东巷'],6,28,2
5,0,5,恒大城,https://xa.lianjia.com/zufang/XA1642136753189945344.html,20,2,5,2,0,0,0,1,1,0,0,0,1,800,108.869467,34.251424,40,nan,93['大寨路宏府麒麟山'],0,10,0
5,0,5,中华世纪城,https://xa.lianjia.com/zufang/XA1642382794443194368.html,22,1,1,0,0,0,0,1,1,0,0,0,0,1200,108.89049,34.246118,54.55,449['延平门'],193['响塘寨'],3,4,0
4,0,5,华府新桃园,https://xa.lianjia.com/zufang/XA1642385289357819904.html,18,3,5,0,0,0,0,1,1,0,0,1,1,550,108.95144,34.220635,30.56,260['纬一街'],277['八里村'],4,15,0
4,0,5,黄渠头小区,https://xa.lianjia.com/zufang/XA1642478015155798016.html,25,1,1,0,0,0,0,1,0,0,0,0,0,950,109.015446,34.217339,38,"600['雁翔路', '黄渠头', '黄渠头']","200['黄渠头村', '黄渠头村']",0,8,1
3,0,5,金辉世界城B区,https://xa.lianjia.com/zufang/XA1645263937828028416.html,16,2,5,0,0,0,0,1,1,0,0,1,1,650,108.976575,34.190153,40.63,600['金滹沱'],"500['金泘沱二路中段', '曲江观唐小区', '芙蓉西路南三环口']",2,6,0
2,1,4,公园壹品,https://xa.lianjia.com/zufang/XA1645389930299392000.html,85,3,5,2,0,0,0,0,0,0,0,0,1,3330,108.959484,34.315456,39.18,800['大明宫西'],"200['公交六公司东区', '公交六公司东区', '公交六公司东区', '公交六公司东区']",3,3,0
4,0,4,金源御景华府,https://xa.lianjia.com/zufang/XA1645625690290126848.html,20,3,5,0,0,0,0,1,1,0,0,0,1,502,108.946624,34.356815,25.1,723['运动公园'],226['文景路凤城十路口'],1,8,0
4,0,4,汇通太古城,https://xa.lianjia.com/zufang/XA1645718136307056640.html,20,1,5,2,0,0,0,1,1,0,0,0,0,740,108.953831,34.365041,37,431['北苑'],382['凤城北路中段'],0,1,0
4,0,4,名京九合院,https://xa.lianjia.com/zufang/XA1645747337693233152.html,20,3,5,2,0,0,0,1,1,0,0,0,0,740,108.949594,34.313582,37,448['大明宫西'],321['西安城北客运站'],3,3,1
4,0,4,中登城市花园,https://xa.lianjia.com/zufang/XA1645747710394892288.html,20,1,5,2,0,0,0,1,1,0,0,0,0,1292,108.949641,34.331721,64.6,614['凤城五路'],345['尤家庄'],4,46,2
4,0,4,名京九合院,https://xa.lianjia.com/zufang/XA1645753754856718336.html,20,3,5,2,0,0,0,1,1,0,0,0,0,878,108.949594,34.313582,43.9,448['大明宫西'],321['西安城北客运站'],3,3,1
4,0,4,中登城市花园,https://xa.lianjia.com/zufang/XA1645754303341658112.html,18,2,5,2,0,0,0,1,1,0,0,0,0,1292,108.949641,34.331721,71.78,614['凤城五路'],345['尤家庄'],4,46,2
4,0,3,金辉天鹅湾,https://xa.lianjia.com/zufang/XA1646169030970572800.html,20,3,5,2,0,0,0,1,1,0,0,0,0,786,108.930235,34.293398,39.3,179['红庙坡'],215['红庙坡'],3,5,3
4,0,3,金辉天鹅湾,https://xa.lianjia.com/zufang/XA1646174154166108160.html,18,1,5,2,0,0,0,1,1,0,0,1,0,786,108.930235,34.293398,43.67,179['红庙坡'],215['红庙坡'],3,5,3
4,0,3,皇族名居,https://xa.lianjia.com/zufang/XA1646820585281421312.html,20,2,5,2,0,0,0,1,1,0,0,0,0,648,108.933674,34.29776,32.4,584['红庙坡'],368['龙首北路永新路口'],15,11,0
4,0,3,金辉天鹅湾,https://xa.lianjia.com/zufang/XA1647182962543820800.html,20,3,5,2,0,0,0,1,1,0,0,0,0,924,108.930235,34.293398,46.2,179['红庙坡'],215['红庙坡'],3,5,3
4,0,4,文景小区西区,https://xa.lianjia.com/zufang/XA1647905253942624256.html,20,1,5,2,0,0,0,1,1,0,0,0,0,924,108.932748,34.355498,46.2,336['凤城九路'],246['文景西区北门'],0,7,0
4,0,4,名京九合院,https://xa.lianjia.com/zufang/XA1647905677693157376.html,20,1,5,2,0,0,0,1,1,0,0,0,0,740,108.949594,34.313582,37,448['大明宫西'],321['西安城北客运站'],3,3,1
4,0,7,福泽小区,https://xa.lianjia.com/zufang/XA1648233509422104576.html,23,3,5,0,0,0,0,1,1,1,0,1,1,650,108.949346,34.173884,28.26,271['凤栖原'],266['北长安街凤栖路口'],1,4,0
5,0,7,挚信樱花园,https://xa.lianjia.com/zufang/XA1648915528506408960.html,15,2,1,0,0,0,0,1,1,0,0,0,0,660,108.888581,34.166042,44,336['樱花广场'],184['樱花广场'],1,2,0
3,0,5,江林新城B区,https://xa.lianjia.com/zufang/XA1649026175068012544.html,25,3,5,0,0,0,0,1,1,0,0,1,1,1000,108.90983,34.196171,40,874['电子城'],127['江林小区'],0,0,0
4,0,5,天地源香都东岸,https://xa.lianjia.com/zufang/XA1649026249210724352.html,20,3,5,0,0,0,0,1,1,0,0,0,0,750,108.999071,34.19053,37.5,1700['金滹沱'],100['春临三路公田四路口'],0,2,0
4,0,5,天地源香都东岸,https://xa.lianjia.com/zufang/XA1649026261923659776.html,20,3,5,0,0,0,0,1,0,0,0,0,0,750,108.999071,34.19053,37.5,1700['金滹沱'],100['春临三路公田四路口'],0,2,0
4,0,7,盛世长安,https://xa.lianjia.com/zufang/XA1649035727373074432.html,25,2,5,0,0,0,0,0,0,0,0,0,1,930,108.884674,34.174001,37.2,957['樱花广场'],225['西五桥新村'],0,5,0
5,0,7,景苑新区,https://xa.lianjia.com/zufang/XA1649262211194945536.html,12,2,1,0,0,0,0,1,1,0,0,0,1,501,108.943837,34.167894,41.75,774['航天城'],38['长兴北路韦曲北街口'],2,6,3
4,0,5,海伦国际,https://xa.lianjia.com/zufang/XA1649328233314779136.html,20,1,5,0,0,0,0,1,0,0,0,0,0,950,109.009457,34.236703,47.5,"900['青龙寺', '青龙寺']","200['新安路延兴门一路口', '新安路延兴门一路口']",1,6,0
5,0,5,南飞鸿十年城,https://xa.lianjia.com/zufang/XA1649633859966337024.html,25,1,5,0,0,0,0,1,0,0,0,0,0,1400,108.851482,34.230877,56,nan,164['西三环科技二路口'],0,4,0
3,0,5,太白里小区,https://xa.lianjia.com/zufang/XA1649718863694135296.html,25,2,4,2,0,0,0,1,1,0,0,0,0,1050,108.907838,34.213803,42,939['木塔寺'],100['白沙路公交调度站'],1,5,1
4,0,4,欣欣家园,https://xa.lianjia.com/zufang/XA1650057613238337536.html,12,3,4,0,0,0,0,1,1,0,0,0,1,550,108.852884,34.295481,45.83,783['皂河'],236['三桥立交东'],0,0,0
4,0,4,雅荷紫金阳光,https://xa.lianjia.com/zufang/XA1650061293840760832.html,20,3,5,0,0,0,0,1,1,0,0,1,1,700,108.934728,34.311844,35,690['范家村'],282['北二环明光立交南'],0,8,0
4,0,4,西岸国际花园西苑,https://xa.lianjia.com/zufang/XA1650066047027380224.html,20,1,3,0,0,0,0,1,1,0,0,0,1,650,109.020433,34.312402,32.5,500['广泰门'],"200['广运潭大道玄武东路口', '广运潭大道玄武东路口']",2,3,0
5,0,4,蓝光公园华府三期,https://xa.lianjia.com/zufang/XA1650072709024972800.html,10,3,8,0,0,0,0,1,1,0,0,0,1,501,108.821139,34.290282,50.1,nan,139['沣东交警大队'],0,1,0
5,0,5,联盟新城,https://xa.lianjia.com/zufang/XA1650087778152611840.html,24,1,5,0,0,0,0,1,1,0,0,0,1,700,108.921157,34.188835,29.17,nan,183['杜城'],1,6,0
5,0,1,星辰小区,https://xa.lianjia.com/zufang/XA1650088972992380928.html,6,2,7,0,0,0,0,1,1,1,0,1,1,501,109.013814,34.291744,83.5,nan,145['公园北路北段'],14,2,0
5,0,6,西铁浐灞生态苑住宅小区,https://xa.lianjia.com/zufang/XA1650090082775859200.html,25,1,1,0,0,0,0,1,1,0,0,0,1,800,109.05397,34.303034,32,2100['桃花潭'],400['浐灞汽车主题公园'],0,1,0
5,0,6,长乐小区,https://xa.lianjia.com/zufang/XA1650100820672249856.html,20,3,5,0,0,0,0,1,1,0,0,1,1,700,109.064017,34.284278,35,"400['半坡', '半坡']",200['堡子村'],0,1,1
5,0,5,新司法小区,https://xa.lianjia.com/zufang/XA1650102651016183808.html,30,3,5,0,0,0,0,1,1,0,0,0,1,1100,108.961543,34.191133,36.67,900['三爻'],"600['西安建设大厦', '东三爻西']",0,0,0
4,0,1,西玛大厦,https://xa.lianjia.com/zufang/XA1650109749217198080.html,13,1,5,0,0,0,0,1,1,0,0,0,1,550,109.002707,34.286424,42.31,315['胡家庙'],54['新兴骏景园'],2,6,4
5,0,1,世纪华城,https://xa.lianjia.com/zufang/XA1650135221258944512.html,10,3,4,0,0,0,0,1,1,0,0,1,1,800,108.998343,34.286381,80,466['胡家庙'],347['新兴骏景园'],2,6,5
5,0,5,尚品国际,https://xa.lianjia.com/zufang/XA1650144094887870464.html,10,1,5,0,0,0,0,1,1,0,0,1,1,850,108.898877,34.219579,85,190['木塔寺'],155['高新路科技六路口'],2,1,0
4,0,5,裕昌太阳城,https://xa.lianjia.com/zufang/XA1650345405726064640.html,28,3,5,1,0,0,0,1,1,0,0,1,1,900,108.913362,34.205378,32.14,250['电子城'],165['丈八东路子午大道口'],2,4,1
5,0,5,世纪颐园,https://xa.lianjia.com/zufang/XA1650426093842202624.html,15,3,5,0,0,0,0,1,1,0,0,0,1,750,108.901171,34.24194,50,460['延平门'],108['科技路高新四路口'],1,14,2
4,0,3,云视界,https://xa.lianjia.com/zufang/XA1650464707284303872.html,20,2,5,2,0,0,0,1,1,0,0,1,0,740,108.873452,34.265844,37,960['汉城南路'],280['汉城西路交子巷口'],5,6,1
4,0,6,东方世纪城,https://xa.lianjia.com/zufang/XA1650795055897640960.html,15,2,5,0,0,0,0,1,1,0,0,0,1,750,109.070144,34.284702,50,"600['纺织城', '纺织城', '纺织城']",100['长乐路新医路口'],2,4,0
4,0,5,西沙湖花园,https://xa.lianjia.com/zufang/XA1650916914039357440.html,27,1,5,0,0,0,0,1,0,0,0,0,0,1100,108.850904,34.204975,40.74,nan,385['西三环丈八立交西'],1,1,0
4,0,3,天朗大兴郡,https://xa.lianjia.com/zufang/XA1651435871880085504.html,20,1,5,2,0,0,0,1,1,0,0,0,0,694,108.904493,34.293076,34.7,433['小白杨'],138['白家口'],1,1,0
4,0,3,鑫苑大都汇,https://xa.lianjia.com/zufang/XA1651452065043447808.html,20,3,5,2,0,0,0,1,1,0,0,0,0,878,108.906503,34.289272,43.9,385['小白杨'],224['丰禾家园'],0,1,2
5,0,6,阳光100阿尔勒,https://xa.lianjia.com/zufang/XA1652193131308777472.html,16,1,1,0,0,0,0,1,1,0,0,1,1,501,109.033963,34.308919,31.31,1100['桃花潭'],400['周家坡村'],0,3,0
4,0,6,电厂东路八号院,https://xa.lianjia.com/zufang/XA1652218661953339392.html,15,2,7,0,0,0,0,1,1,0,0,1,1,510,109.063775,34.286389,34,538['半坡'],211['电厂东路电厂路口'],0,0,0
4,0,4,祥和居,https://xa.lianjia.com/zufang/XA1652254550276440064.html,22,2,6,0,0,0,0,1,0,0,0,0,1,900,108.998753,34.326886,40.91,"900['杨家庄', '杨家庄']","200['祥和居小区北门', '祥和居小区北门']",4,3,1
4,0,6,盛馨园,https://xa.lianjia.com/zufang/XA1652255779916349440.html,15,3,4,0,0,1,1,1,1,1,1,1,1,650,109.020885,34.301481,43.33,721['苏王村'],135['东岭欣城'],0,2,0
4,0,1,三联大厦,https://xa.lianjia.com/zufang/XA1652270872817303552.html,17,2,4,2,0,0,0,0,0,0,0,0,0,900,108.954525,34.291767,52.94,488['安远门'],83['北稍门'],2,11,1
5,0,4,海璟台北湾南区,https://xa.lianjia.com/zufang/XA1652273172843593728.html,15,3,4,0,0,0,0,1,1,0,0,1,1,900,108.938443,34.318813,60,595['明光路'],295['明光路凤城一路口'],0,5,1
5,0,1,未林阁小区,https://xa.lianjia.com/zufang/XA1652273505934245888.html,18,2,1,0,0,0,0,1,1,0,0,1,1,900,108.967391,34.272724,50,410['五路口'],205['民乐园'],4,7,8
2,1,4,盛龙广场1号地,https://xa.lianjia.com/zufang/XA1652276853743812608.html,86,1,5,2,0,0,0,0,0,0,0,0,1,2599,108.952856,34.305455,30.22,656['大明宫西'],84['266路公交'],2,5,5
2,1,4,公园壹品,https://xa.lianjia.com/zufang/XA1652616528102686720.html,90,3,5,2,0,0,0,0,0,0,0,0,1,3330,108.959484,34.315456,37,800['大明宫西'],"200['公交六公司东区', '公交六公司东区', '公交六公司东区', '公交六公司东区']",3,3,0
4,0,4,海璟时代,https://xa.lianjia.com/zufang/XA1652622854887309312.html,26,3,5,0,0,0,0,0,0,0,0,0,0,950,108.946651,34.335129,36.54,657['凤城五路'],171['文景路凤城五路口'],0,41,1
5,0,4,二府庄北区区政府家属院,https://xa.lianjia.com/zufang/XA1653244658408488960.html,12,3,5,0,0,1,0,1,1,0,0,1,1,501,108.95815,34.304598,41.75,"900['龙首原', '大明宫西']",400['建强路纬二十七街口'],2,0,1
